datetime,ph
10/24/23 8:00,3.42
10/24/23 8:05,3.41
10/24/23 8:10,3.41
10/24/23 8:15,3.41
10/24/23 8:20,3.41
10/24/23 8:25,3.41
10/24/23 8:30,3.41
10/24/23 8:35,3.4
10/24/23 8:40,3.4
10/24/23 8:45,3.4
10/24/23 8:50,3.4
10/24/23 8:55,3.4
10/24/23 9:00,3.4
10/24/23 9:05,3.41
10/24/23 9:10,3.41
10/24/23 9:15,3.41
10/24/23 9:20,3.41
10/24/23 9:25,3.41
10/24/23 9:30,3.41
10/24/23 9:35,3.41
10/24/23 9:40,3.42
10/24/23 9:45,3.42
10/24/23 9:50,3.42
10/24/23 9:55,3.43
10/24/23 10:00,3.43
10/24/23 10:05,3.44
10/24/23 10:10,3.45
10/24/23 10:15,3.46
10/24/23 10:20,3.47
10/24/23 10:25,3.48
10/24/23 10:30,3.48
10/24/23 10:35,3.49
10/24/23 10:40,3.49
10/24/23 10:45,3.5
10/24/23 10:50,3.5
10/24/23 10:55,3.51
10/24/23 11:00,3.51
10/24/23 11:05,3.51
10/24/23 11:10,3.52
10/24/23 11:15,3.52
10/24/23 11:20,3.52
10/24/23 11:25,3.53
10/24/23 11:30,3.53
10/24/23 11:35,3.53
10/24/23 11:40,3.53
10/24/23 11:45,3.53
10/24/23 11:50,3.53
10/24/23 11:55,3.54
10/24/23 12:00,6.8
10/24/23 12:05,8.34
10/24/23 12:10,8.3
10/24/23 12:15,8.31
10/24/23 12:20,8.31
10/24/23 12:25,8.3
10/24/23 12:30,8.31
10/24/23 12:35,8.33
10/24/23 12:40,8.33
10/24/23 12:45,8.33
10/24/23 12:50,8.33
10/24/23 12:55,8.33
10/24/23 13:00,8.33
10/24/23 13:05,8.33
10/24/23 13:10,8.34
10/24/23 13:15,8.35
10/24/23 13:20,8.36
10/24/23 13:25,8.38
10/24/23 13:30,8.39
10/24/23 13:35,8.4
10/24/23 13:40,8.41
10/24/23 13:45,8.44
10/24/23 13:50,8.45
10/24/23 13:55,8.48
10/24/23 14:00,8.47
10/24/23 14:05,8.51
10/24/23 14:10,8.53
10/24/23 14:15,8.53
10/24/23 14:20,8.55
10/24/23 14:25,8.56
10/24/23 14:30,8.59
10/24/23 14:35,8.58
10/24/23 14:40,8.59
10/24/23 14:45,8.62
10/24/23 14:50,8.64
10/24/23 14:55,8.66
10/24/23 15:00,8.69
10/24/23 15:05,8.7
10/24/23 15:10,8.71
10/24/23 15:15,8.73
10/24/23 15:20,8.72
10/24/23 15:25,8.73
10/24/23 15:30,8.74
10/24/23 15:35,8.65
10/24/23 15:40,8.47
10/24/23 15:45,8.42
10/24/23 15:50,8.39
10/24/23 15:55,8.35
10/24/23 16:00,8.36
10/24/23 16:05,8.34
10/24/23 16:10,8.33
10/24/23 16:15,8.31
10/24/23 16:20,8.29
10/24/23 16:25,8.29
10/24/23 16:30,8.28
10/24/23 16:35,8.27
10/24/23 16:40,8.26
10/24/23 16:45,8.26
10/24/23 16:50,8.26
10/24/23 16:55,8.25
10/24/23 17:00,8.24
10/24/23 17:05,8.23
10/24/23 17:10,8.22
10/24/23 17:15,8.22
10/24/23 17:20,8.2
10/24/23 17:25,8.18
10/24/23 17:30,8.18
10/24/23 17:35,8.17
10/24/23 17:40,8.17
10/24/23 17:45,8.13
10/24/23 17:50,8.11
10/24/23 17:55,8.1
10/24/23 18:00,8.09
10/24/23 18:05,8.07
10/24/23 18:10,8.06
10/24/23 18:15,8.05
10/24/23 18:20,8.04
10/24/23 18:25,8.02
10/24/23 18:30,8.05
10/24/23 18:35,8.05
10/24/23 18:40,8.04
10/24/23 18:45,8.04
10/24/23 18:50,8.04
10/24/23 18:55,8.03
10/24/23 19:00,8.02
10/24/23 19:05,8.01
10/24/23 19:10,8
10/24/23 19:15,7.99
10/24/23 19:20,7.98
10/24/23 19:25,7.97
10/24/23 19:30,7.96
10/24/23 19:35,7.95
10/24/23 19:40,7.94
10/24/23 19:45,7.93
10/24/23 19:50,7.92
10/24/23 19:55,7.91
10/24/23 19:59,
