datetime,ph
10/24/23 8:00,3.52
10/24/23 8:05,3.52
10/24/23 8:10,3.52
10/24/23 8:15,3.52
10/24/23 8:20,3.52
10/24/23 8:25,3.52
10/24/23 8:30,3.52
10/24/23 8:35,3.52
10/24/23 8:40,3.52
10/24/23 8:45,3.52
10/24/23 8:50,3.52
10/24/23 8:55,3.52
10/24/23 9:00,3.53
10/24/23 9:05,3.53
10/24/23 9:10,3.53
10/24/23 9:15,3.53
10/24/23 9:20,3.53
10/24/23 9:25,3.53
10/24/23 9:30,3.54
10/24/23 9:35,3.54
10/24/23 9:40,3.54
10/24/23 9:45,3.55
10/24/23 9:50,3.56
10/24/23 9:55,3.57
10/24/23 10:00,3.58
10/24/23 10:05,3.58
10/24/23 10:10,3.58
10/24/23 10:15,3.59
10/24/23 10:20,3.59
10/24/23 10:25,3.59
10/24/23 10:30,3.59
10/24/23 10:35,3.6
10/24/23 10:40,3.61
10/24/23 10:45,3.62
10/24/23 10:50,3.63
10/24/23 10:55,3.66
10/24/23 11:00,3.63
10/24/23 11:05,3.61
10/24/23 11:10,3.59
10/24/23 11:15,3.58
10/24/23 11:20,3.58
10/24/23 11:25,3.57
10/24/23 11:30,3.57
10/24/23 11:35,3.57
10/24/23 11:40,7.98
10/24/23 11:45,8
10/24/23 11:50,8.01
10/24/23 11:55,8.01
10/24/23 12:00,8.02
10/24/23 12:05,8.02
10/24/23 12:10,8.02
10/24/23 12:15,8.03
10/24/23 12:20,8.03
10/24/23 12:25,8.03
10/24/23 12:30,8.04
10/24/23 12:35,8.04
10/24/23 12:40,8.04
10/24/23 12:45,8.04
10/24/23 12:50,8.05
10/24/23 12:55,8.05
10/24/23 13:00,8.05
10/24/23 13:05,8.05
10/24/23 13:10,8.05
10/24/23 13:15,8.05
10/24/23 13:20,8.06
10/24/23 13:25,8.06
10/24/23 13:30,8.06
10/24/23 13:35,8.07
10/24/23 13:40,8.06
10/24/23 13:45,8.06
10/24/23 13:50,8.07
10/24/23 13:55,8.06
10/24/23 14:00,8.06
10/24/23 14:05,8.06
10/24/23 14:10,8.06
10/24/23 14:15,8.07
10/24/23 14:20,8.08
10/24/23 14:25,8.07
10/24/23 14:30,8.07
10/24/23 14:35,8.08
10/24/23 14:40,8.08
10/24/23 14:45,8.09
10/24/23 14:50,8.08
10/24/23 14:55,8.08
10/24/23 15:00,8.08
10/24/23 15:05,8.08
10/24/23 15:10,8.02
10/24/23 15:15,7.74
10/24/23 15:20,7.71
10/24/23 15:25,7.69
10/24/23 15:30,7.62
10/24/23 15:35,7.62
10/24/23 15:40,7.61
10/24/23 15:45,7.58
10/24/23 15:50,7.56
10/24/23 15:55,7.57
10/24/23 16:00,7.58
10/24/23 16:05,7.57
10/24/23 16:10,7.57
10/24/23 16:15,7.56
10/24/23 16:20,7.54
10/24/23 16:25,7.53
10/24/23 16:30,7.53
10/24/23 16:35,7.52
10/24/23 16:40,7.51
10/24/23 16:45,7.5
10/24/23 16:50,7.49
10/24/23 16:55,7.48
10/24/23 17:00,7.49
10/24/23 17:05,7.48
10/24/23 17:10,7.45
10/24/23 17:15,7.46
10/24/23 17:20,7.45
10/24/23 17:25,7.44
10/24/23 17:30,7.45
10/24/23 17:35,7.45
10/24/23 17:40,7.44
10/24/23 17:45,7.41
10/24/23 17:50,7.42
10/24/23 17:55,7.42
10/24/23 18:00,7.42
10/24/23 18:05,7.41
10/24/23 18:10,7.41
10/24/23 18:15,7.4
10/24/23 18:20,7.4
10/24/23 18:25,7.39
10/24/23 18:30,7.39
10/24/23 18:35,7.38
10/24/23 18:40,7.39
10/24/23 18:45,7.39
10/24/23 18:50,7.39
10/24/23 18:55,7.4
10/24/23 19:00,7.4
10/24/23 19:05,7.4
10/24/23 19:10,7.4
10/24/23 19:15,7.39
10/24/23 19:20,7.39
10/24/23 19:25,7.39
10/24/23 19:30,7.39
10/24/23 19:35,7.38
10/24/23 19:40,7.38
10/24/23 19:45,7.38
10/24/23 19:50,7.37
10/24/23 19:55,7.37
10/24/23 19:59,
