datetime,ph
10/18/23 8:00,3.57
10/18/23 8:05,3.57
10/18/23 8:10,3.57
10/18/23 8:15,3.57
10/18/23 8:20,3.56
10/18/23 8:25,3.56
10/18/23 8:30,3.56
10/18/23 8:35,3.56
10/18/23 8:40,3.56
10/18/23 8:45,3.56
10/18/23 8:50,3.56
10/18/23 8:55,3.56
10/18/23 9:00,3.56
10/18/23 9:05,3.56
10/18/23 9:10,3.56
10/18/23 9:15,3.56
10/18/23 9:20,3.56
10/18/23 9:25,3.57
10/18/23 9:30,3.57
10/18/23 9:35,3.57
10/18/23 9:40,3.57
10/18/23 9:45,3.58
10/18/23 9:50,3.59
10/18/23 9:55,3.6
10/18/23 10:00,3.6
10/18/23 10:05,3.61
10/18/23 10:10,3.62
10/18/23 10:15,3.62
10/18/23 10:20,3.63
10/18/23 10:25,3.63
10/18/23 10:30,3.64
10/18/23 10:35,3.64
10/18/23 10:40,3.64
10/18/23 10:45,3.64
10/18/23 10:50,3.63
10/18/23 10:55,3.62
10/18/23 11:00,3.61
10/18/23 11:05,3.6
10/18/23 11:10,3.6
10/18/23 11:15,3.6
10/18/23 11:20,3.6
10/18/23 11:25,3.59
10/18/23 11:30,3.59
10/18/23 11:35,3.59
10/18/23 11:40,3.59
10/18/23 11:45,3.59
10/18/23 11:50,3.59
10/18/23 11:55,3.59
10/18/23 12:00,3.58
10/18/23 12:05,3.58
10/18/23 12:10,3.58
10/18/23 12:15,3.58
10/18/23 12:20,3.58
10/18/23 12:25,8.11
10/18/23 12:30,8.13
10/18/23 12:35,8.1
10/18/23 12:40,8.1
10/18/23 12:45,8.07
10/18/23 12:50,8.08
10/18/23 12:55,8.08
10/18/23 13:00,8.07
10/18/23 13:05,8.07
10/18/23 13:10,8.11
10/18/23 13:15,8.09
10/18/23 13:20,8.11
10/18/23 13:25,8.1
10/18/23 13:30,8.09
10/18/23 13:35,8.09
10/18/23 13:40,8.09
10/18/23 13:45,8.1
10/18/23 13:50,8.11
10/18/23 13:55,8.1
10/18/23 14:00,8.09
10/18/23 14:05,8.11
10/18/23 14:10,8.12
10/18/23 14:15,8.11
10/18/23 14:20,8.12
10/18/23 14:25,7.86
10/18/23 14:30,7.61
10/18/23 14:35,7.51
10/18/23 14:40,7.38
10/18/23 14:45,7.26
10/18/23 14:50,7.23
10/18/23 14:55,7.12
10/18/23 15:00,7.14
10/18/23 15:05,7.13
10/18/23 15:10,7.07
10/18/23 15:15,7.02
10/18/23 15:20,6.99
10/18/23 15:25,6.98
10/18/23 15:30,6.98
10/18/23 15:35,6.98
10/18/23 15:40,6.99
10/18/23 15:45,7
10/18/23 15:50,7
10/18/23 15:55,7
10/18/23 16:00,7
10/18/23 16:05,6.86
10/18/23 16:10,6.85
10/18/23 16:15,6.82
10/18/23 16:20,6.82
10/18/23 16:25,6.83
10/18/23 16:30,6.84
10/18/23 16:35,6.84
10/18/23 16:40,6.85
10/18/23 16:45,6.85
10/18/23 16:50,6.85
10/18/23 16:55,6.86
10/18/23 17:00,6.86
10/18/23 17:05,6.86
10/18/23 17:10,6.86
10/18/23 17:15,6.86
10/18/23 17:20,6.86
10/18/23 17:25,6.83
10/18/23 17:30,6.8
10/18/23 17:35,6.8
10/18/23 17:40,6.79
10/18/23 17:45,6.8
10/18/23 17:50,6.8
10/18/23 17:55,6.81
10/18/23 18:00,6.82
10/18/23 18:05,6.82
10/18/23 18:10,6.83
10/18/23 18:15,6.83
10/18/23 18:20,6.83
10/18/23 18:25,6.83
10/18/23 18:30,6.82
10/18/23 18:35,6.82
10/18/23 18:40,6.82
10/18/23 18:45,6.83
10/18/23 18:50,6.83
10/18/23 18:55,6.83
10/18/23 19:00,6.84
10/18/23 19:05,6.84
10/18/23 19:10,6.84
10/18/23 19:15,6.84
10/18/23 19:20,6.84
10/18/23 19:25,6.84
10/18/23 19:30,6.84
10/18/23 19:35,6.84
10/18/23 19:40,6.84
10/18/23 19:45,6.84
10/18/23 19:50,6.84
10/18/23 19:55,6.84
10/18/23 20:00,6.84
10/18/23 20:05,6.83
10/18/23 20:10,6.83
10/18/23 20:15,6.83
10/18/23 20:20,6.83
10/18/23 20:25,6.83
10/18/23 20:30,6.83
10/18/23 20:35,6.83
10/18/23 20:40,6.83
10/18/23 20:45,6.83
10/18/23 20:50,6.83
10/18/23 20:55,6.82
10/18/23 21:00,6.82
10/18/23 21:05,6.82
10/18/23 21:10,6.82
10/18/23 21:15,6.81
10/18/23 21:20,6.81
10/18/23 21:25,6.81
10/18/23 21:30,6.8
10/18/23 21:35,6.8
10/18/23 21:40,6.8
10/18/23 21:45,6.8
10/18/23 21:50,6.8
10/18/23 21:55,6.8
10/18/23 22:00,6.79
10/18/23 22:05,6.79
10/18/23 22:10,6.79
10/18/23 22:15,6.79
10/18/23 22:20,6.79
10/18/23 22:25,6.79
10/18/23 22:30,6.79
10/18/23 22:35,6.79
10/18/23 22:40,6.79
10/18/23 22:45,6.79
10/18/23 22:50,6.79
10/18/23 22:55,6.79
10/18/23 23:00,6.79
10/18/23 23:05,6.79
10/18/23 23:10,6.79
10/18/23 23:15,6.8
10/18/23 23:20,6.8
10/18/23 23:25,6.8
10/18/23 23:30,6.8
10/18/23 23:35,6.8
10/18/23 23:40,6.81
10/18/23 23:45,6.81
10/18/23 23:50,6.81
10/18/23 23:55,6.81
10/19/23 0:00,6.81
10/19/23 0:05,6.81
10/19/23 0:10,6.82
10/19/23 0:15,6.82
10/19/23 0:20,6.82
10/19/23 0:25,6.82
10/19/23 0:30,6.82
10/19/23 0:35,6.82
10/19/23 0:40,6.82
10/19/23 0:45,6.82
10/19/23 0:50,6.82
10/19/23 0:55,6.82
10/19/23 1:00,6.82
10/19/23 1:05,6.82
10/19/23 1:10,6.82
10/19/23 1:15,6.82
10/19/23 1:20,6.82
10/19/23 1:25,6.82
10/19/23 1:30,6.82
10/19/23 1:35,6.82
10/19/23 1:40,6.82
10/19/23 1:45,6.82
10/19/23 1:50,6.82
10/19/23 1:55,6.82
10/19/23 2:00,6.82
10/19/23 2:05,6.82
10/19/23 2:10,6.82
10/19/23 2:15,6.82
10/19/23 2:20,6.82
10/19/23 2:25,6.82
10/19/23 2:30,6.82
10/19/23 2:35,6.82
10/19/23 2:40,6.82
10/19/23 2:45,6.82
10/19/23 2:50,6.82
10/19/23 2:55,6.82
10/19/23 3:00,6.82
10/19/23 3:05,6.82
10/19/23 3:10,6.82
10/19/23 3:15,6.82
10/19/23 3:20,6.82
10/19/23 3:25,6.82
10/19/23 3:30,6.82
10/19/23 3:35,6.82
10/19/23 3:40,6.82
10/19/23 3:45,6.82
10/19/23 3:50,6.82
10/19/23 3:55,6.83
10/19/23 4:00,6.83
10/19/23 4:05,6.83
10/19/23 4:10,6.83
10/19/23 4:15,6.83
10/19/23 4:20,6.83
10/19/23 4:25,6.83
10/19/23 4:30,6.83
10/19/23 4:35,6.83
10/19/23 4:40,6.83
10/19/23 4:45,6.83
10/19/23 4:50,6.83
10/19/23 4:55,6.83
10/19/23 5:00,6.83
10/19/23 5:05,6.83
10/19/23 5:10,6.83
10/19/23 5:15,6.83
10/19/23 5:20,6.83
10/19/23 5:25,6.83
10/19/23 5:30,6.83
10/19/23 5:35,6.83
10/19/23 5:40,6.83
10/19/23 5:45,6.83
10/19/23 5:50,6.83
10/19/23 5:55,6.83
10/19/23 6:00,6.83
10/19/23 6:05,6.83
10/19/23 6:10,6.83
10/19/23 6:15,6.83
10/19/23 6:20,6.83
10/19/23 6:25,6.83
10/19/23 6:30,6.83
10/19/23 6:35,6.83
10/19/23 6:40,6.83
10/19/23 6:45,6.83
10/19/23 6:50,6.83
10/19/23 6:55,6.83
10/19/23 7:00,6.83
10/19/23 7:05,6.83
10/19/23 7:10,6.84
10/19/23 7:15,6.84
10/19/23 7:20,6.84
10/19/23 7:25,6.84
10/19/23 7:30,6.84
10/19/23 7:35,6.84
10/19/23 7:40,6.84
10/19/23 7:45,6.84
10/19/23 7:50,6.84
10/19/23 7:55,6.84
10/19/23 8:00,6.84
10/19/23 8:05,6.84
10/19/23 8:10,6.84
10/19/23 8:15,6.84
10/19/23 8:20,6.84
10/19/23 8:25,6.84
10/19/23 8:30,6.84
10/19/23 8:35,6.84
10/19/23 8:40,6.84
10/19/23 8:45,6.84
10/19/23 8:50,6.84
10/19/23 8:55,6.84
10/19/23 9:00,6.84
10/19/23 9:05,6.84
10/19/23 9:10,6.84
10/19/23 9:15,6.84
10/19/23 9:20,6.84
10/19/23 9:25,6.85
10/19/23 9:30,6.85
10/19/23 9:35,6.85
10/19/23 9:40,6.85
10/19/23 9:45,6.85
10/19/23 9:50,6.85
10/19/23 9:55,6.85
10/19/23 10:00,6.85
10/19/23 10:05,6.85
10/19/23 10:10,6.85
10/19/23 10:15,6.85
10/19/23 10:20,6.85
10/19/23 10:25,6.85
10/19/23 10:30,6.84
10/19/23 10:35,6.84
10/19/23 10:40,6.84
10/19/23 10:45,6.84
10/19/23 10:50,6.84
10/19/23 10:55,6.84
10/19/23 11:00,6.83
10/19/23 11:05,6.83
10/19/23 11:10,6.83
10/19/23 11:15,6.83
10/19/23 11:20,6.83
10/19/23 11:25,6.83
10/19/23 11:30,6.83
10/19/23 11:35,6.83
10/19/23 11:40,6.83
10/19/23 11:45,6.83
10/19/23 11:50,6.83
10/19/23 11:55,6.83
10/19/23 12:00,6.83
10/19/23 12:05,6.83
10/19/23 12:10,6.83
10/19/23 12:15,6.83
10/19/23 12:20,6.83
10/19/23 12:25,6.83
10/19/23 12:30,6.83
10/19/23 12:35,6.82
10/19/23 12:40,6.82
10/19/23 12:45,6.82
10/19/23 12:50,6.82
10/19/23 12:55,6.82
10/19/23 13:00,6.82
10/19/23 13:05,6.82
10/19/23 13:10,6.82
10/19/23 13:15,6.82
10/19/23 13:20,6.82
10/19/23 13:25,6.82
10/19/23 13:30,6.82
10/19/23 13:35,6.82
10/19/23 13:40,6.82
10/19/23 13:45,6.82
10/19/23 13:50,6.82
10/19/23 13:55,6.82
10/19/23 13:57,
10/19/23 13:57,
10/19/23 13:57,
